Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date,Excess Readmission Ratio_standardized,Predicted Readmission Rate_standardized,Expected Readmission Rate_standardized
MARIETTA MEMORIAL HOSPITAL,OH,COPD,154.0,1.11,22.34,20.18,41,07/01/2020,06/30/2023,1.581864747462086,2.196930393477211,1.6074646381407187
POMERENE HOSPITAL,OH,Pneumonia,94.0,1.01,13.94,13.75,14,07/01/2020,06/30/2023,0.012780607521180043,-1.4998601370509703,-1.8364057841537338
SUMMA WESTERN RESERVE HOSPITAL,OH,COPD,57.0,1.03,19.53,18.96,13,07/01/2020,06/30/2023,0.32659743550936127,0.9602659421933795,0.9540397679697656
DOCTORS HOSPITAL,OH,Pneumonia,167.0,1.07,18.08,16.85,35,07/01/2020,06/30/2023,0.9542310914857236,0.3221294815664898,-0.17606390093245725
DOCTORS HOSPITAL,OH,COPD,63.0,0.99,19.99,20.18,12,07/01/2020,06/30/2023,-0.3010362204670012,1.162709233150874,1.6074646381407187
SOUTHWEST GENERAL HEALTH CENTER,OH,Pneumonia,441.0,1.17,19.49,16.62,97,07/01/2020,06/30/2023,2.523315231426626,0.9426621777622917,-0.2992505567843586
SOUTHWEST GENERAL HEALTH CENTER,OH,COPD,203.0,1.03,19.37,18.85,41,07/01/2020,06/30/2023,0.32659743550936127,0.889850884469033,0.8951244108232046
ADENA REGIONAL MEDICAL CENTER,OH,Pneumonia,360.0,0.92,17.13,18.59,56,07/01/2020,06/30/2023,-1.3993951184256337,-0.09595992367181609,0.7558699302949677
ADENA REGIONAL MEDICAL CENTER,OH,COPD,158.0,1.0,20.33,20.37,32,07/01/2020,06/30/2023,-0.14412780647291057,1.3123412308151097,1.7092275277575073
MH ST JOSEPH WARREN HOSPITAL,OH,Pneumonia,257.0,0.97,17.24,17.82,42,07/01/2020,06/30/2023,-0.6148530484551824,-0.04754957148632826,0.3434624302690381
MH ST JOSEPH WARREN HOSPITAL,OH,COPD,94.0,1.03,19.13,18.52,20,07/01/2020,06/30/2023,0.32659743550936127,0.7842282978825127,0.7183783393835194
CHRIST HOSPITAL,OH,Pneumonia,504.0,1.0,16.88,16.89,85,07/01/2020,06/30/2023,-0.14412780647291057,-0.2059834513661072,-0.15464013469734447
CHRIST HOSPITAL,OH,COPD,151.0,1.06,19.5,18.41,33,07/01/2020,06/30/2023,0.797322677491633,0.947063118870064,0.6594629822369583
BERGER HOSPITAL,OH,Pneumonia,112.0,0.93,14.25,15.36,11,07/01/2020,06/30/2023,-1.242486704431543,-1.3634309627100492,-0.9740991931904264
MERCY REGIONAL MEDICAL CENTER,OH,Pneumonia,196.0,0.94,15.56,16.62,26,07/01/2020,06/30/2023,-1.0855782904374542,-0.7869076775919636,-0.2992505567843586
MERCY REGIONAL MEDICAL CENTER,OH,COPD,134.0,1.06,19.17,18.16,29,07/01/2020,06/30/2023,0.797322677491633,0.8018320623136005,0.5255644432675005
UPPER VALLEY MEDICAL CENTER,OH,Pneumonia,188.0,1.05,16.38,15.62,34,07/01/2020,06/30/2023,0.6404142634975425,-0.4260305067546894,-0.8348447126621904
UPPER VALLEY MEDICAL CENTER,OH,COPD,70.0,1.16,19.99,17.26,23,07/01/2020,06/30/2023,2.3664068174325354,1.162709233150874,0.043529702977453504
CLINTON MEMORIAL HOSPITAL,OH,COPD,53.0,1.01,19.87,19.73,11,07/01/2020,06/30/2023,0.012780607521180043,1.1098979398576152,1.3664472679956952
BETHESDA NORTH,OH,Pneumonia,707.0,0.98,15.61,15.92,109,07/01/2020,06/30/2023,-0.45794463446109174,-0.7649029720531059,-0.6741664658988408
BETHESDA NORTH,OH,COPD,221.0,1.01,17.38,17.21,39,07/01/2020,06/30/2023,0.012780607521180043,0.01406360402247501,0.01674999518356158
CLEVELAND CLINIC,OH,Pneumonia,309.0,1.09,20.05,18.41,68,07/01/2020,06/30/2023,1.268047919473905,1.1891148797975049,0.6594629822369583
CLEVELAND CLINIC,OH,COPD,137.0,1.04,20.28,19.58,30,07/01/2020,06/30/2023,0.4835058495034518,1.2903365252762529,1.2861081446140195
SALEM REGIONAL MEDICAL CENTER,OH,Pneumonia,141.0,0.98,16.09,16.5,21,07/01/2020,06/30/2023,-0.45794463446109174,-0.5536577988800667,-0.36352185548969884
SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER,OH,Pneumonia,170.0,1.0,16.61,16.67,28,07/01/2020,06/30/2023,-0.14412780647291057,-0.3248088612759414,-0.27247084899046664
TRINITY MEDICAL CTR EAST &TRINITY MEDICAL CTR WEST,OH,Pneumonia,169.0,1.03,17.81,17.32,32,07/01/2020,06/30/2023,0.32659743550936127,0.2033040716566556,0.07566535233012267
TRINITY MEDICAL CTR EAST &TRINITY MEDICAL CTR WEST,OH,COPD,99.0,1.01,20.64,20.46,21,07/01/2020,06/30/2023,0.012780607521180043,1.4487704051560317,1.757431001786512
LICKING MEMORIAL HOSPITAL,OH,Pneumonia,216.0,1.02,16.09,15.79,36,07/01/2020,06/30/2023,0.16968902151527065,-0.5536577988800667,-0.7437937061629593
LICKING MEMORIAL HOSPITAL,OH,COPD,119.0,0.98,17.76,18.1,20,07/01/2020,06/30/2023,-0.45794463446109174,0.18129936611779862,0.4934287939148314
HILLCREST HOSPITAL,OH,Pneumonia,777.0,0.94,15.63,16.69,117,07/01/2020,06/30/2023,-1.0855782904374542,-0.756101089837562,-0.26175896587291025
HILLCREST HOSPITAL,OH,COPD,198.0,1.0,19.54,19.44,39,07/01/2020,06/30/2023,-0.14412780647291057,0.9646668833011502,1.2111249627911247
MERCY HEALTH - WEST HOSPITAL,OH,Pneumonia,494.0,1.02,16.1,15.76,81,07/01/2020,06/30/2023,0.16968902151527065,-0.5492568577722944,-0.7598615308392938
MERCY HEALTH - WEST HOSPITAL,OH,COPD,99.0,1.1,21.27,19.37,27,07/01/2020,06/30/2023,1.4249563334679953,1.7260296949456448,1.1736333718796763
MERCY HEALTH - CLERMONT HOSPITAL,OH,Pneumonia,314.0,1.03,17.82,17.3,58,07/01/2020,06/30/2023,0.32659743550936127,0.2077050127644279,0.06495346921256628
MERCY HEALTH - CLERMONT HOSPITAL,OH,COPD,142.0,1.09,20.87,19.17,35,07/01/2020,06/30/2023,1.268047919473905,1.5499920506347797,1.0665145407041106
KETTERING HEALTH MIAMISBURG,OH,Pneumonia,157.0,0.98,16.14,16.46,24,07/01/2020,06/30/2023,-0.45794463446109174,-0.5316530933412081,-0.3849456217248116
KETTERING HEALTH MIAMISBURG,OH,COPD,72.0,1.03,22.13,21.42,18,07/01/2020,06/30/2023,0.32659743550936127,2.104510630214006,2.27160139142923
BAY PARK COMMUNITY HOSPITAL,OH,Pneumonia,108.0,1.02,16.14,15.78,19,07/01/2020,06/30/2023,0.16968902151527065,-0.5316530933412081,-0.7491496477217374
MERCY HEALTH - DEFIANCE HOSPITAL,OH,Pneumonia,111.0,0.96,16.59,17.2,16,07/01/2020,06/30/2023,-0.7717614624492729,-0.3336107434914845,0.011394053624782434
HMHP ST ELIZABETH BOARDMAN HEALTH CENTER,OH,Pneumonia,360.0,1.07,17.8,16.57,69,07/01/2020,06/30/2023,0.9542310914857236,0.1989031305488848,-0.3260302645782505
HMHP ST ELIZABETH BOARDMAN HEALTH CENTER,OH,COPD,167.0,0.93,15.25,16.45,21,07/01/2020,06/30/2023,-1.242486704431543,-0.9233368519328847,-0.3903015632835907
DUBLIN METHODIST HOSPITAL,OH,Pneumonia,159.0,0.99,14.91,15.07,23,07/01/2020,06/30/2023,-0.3010362204670012,-1.0729688495971206,-1.1294214983949968
WEST CHESTER HOSPITAL,OH,Pneumonia,366.0,1.06,16.88,15.86,66,07/01/2020,06/30/2023,0.797322677491633,-0.2059834513661072,-0.7063021152515109
WEST CHESTER HOSPITAL,OH,COPD,124.0,0.98,19.64,20.06,23,07/01/2020,06/30/2023,-0.45794463446109174,1.0086762943788672,1.5431933394353785
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,OH,Pneumonia,335.0,1.02,16.86,16.48,58,07/01/2020,06/30/2023,0.16968902151527065,-0.2147853335816503,-0.37423373860725523
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,OH,COPD,98.0,1.0,19.37,19.36,19,07/01/2020,06/30/2023,-0.14412780647291057,0.889850884469033,1.1682774303208971
SOIN MEDICAL CENTER,OH,Pneumonia,299.0,0.93,15.96,17.12,43,07/01/2020,06/30/2023,-1.242486704431543,-0.6108700332810977,-0.031453478845443125
SOIN MEDICAL CENTER,OH,COPD,147.0,1.09,21.33,19.49,37,07/01/2020,06/30/2023,1.268047919473905,1.7524353415922742,1.2379046705850147
CLEVELAND CLINIC AVON HOSPITAL,OH,Pneumonia,346.0,1.03,17.54,16.96,63,07/01/2020,06/30/2023,0.32659743550936127,0.08447866174682138,-0.11714854378589615
CLEVELAND CLINIC AVON HOSPITAL,OH,COPD,114.0,0.95,17.49,18.35,17,07/01/2020,06/30/2023,-0.9286698764433635,0.062473956207962845,0.6273273328842891
AVITA ONTARIO,OH,Pneumonia,67.0,1.0,17.5,17.43,12,07/01/2020,06/30/2023,-0.14412780647291057,0.06687489731573518,0.13458070947668377
KETTERING HEALTH TROY,OH,Pneumonia,72.0,1.02,15.18,14.93,12,07/01/2020,06/30/2023,0.16968902151527065,-0.9541434396872864,-1.2044046802178934
HILLCREST MEDICAL CENTER,OK,Pneumonia,469.0,0.93,17.09,18.41,75,07/01/2020,06/30/2023,-1.242486704431543,-0.1135636881029023,0.6594629822369583
HILLCREST MEDICAL CENTER,OK,COPD,167.0,0.96,19.64,20.55,30,07/01/2020,06/30/2023,-0.7717614624492729,1.0086762943788672,1.8056344758155167
ALLIANCEHEALTH WOODWARD,OK,Pneumonia,125.0,0.97,14.66,15.18,16,07/01/2020,06/30/2023,-0.6148530484551824,-1.1829923772914117,-1.0705061412484358
INTEGRIS HEALTH PONCA CITY,OK,Pneumonia,98.0,1.0,14.2,14.18,14,07/01/2020,06/30/2023,-0.14412780647291057,-1.3854356682489077,-1.6061002971262666
NORMAN REGIONAL,OK,Pneumonia,301.0,0.98,14.98,15.24,44,07/01/2020,06/30/2023,-0.45794463446109174,-1.0421622618427189,-1.0383704918957657
NORMAN REGIONAL,OK,COPD,415.0,0.95,18.12,19.08,72,07/01/2020,06/30/2023,-0.9286698764433635,0.33973324599757754,1.018311066675104
"MERCY HOSPITAL OKLAHOMA CITY, INC",OK,Pneumonia,705.0,0.84,13.4,15.93,83,07/01/2020,06/30/2023,-2.6546624303783584,-1.7375109568706388,-0.6688105243400626
"MERCY HOSPITAL OKLAHOMA CITY, INC",OK,COPD,153.0,0.99,18.06,18.25,27,07/01/2020,06/30/2023,-0.3010362204670012,0.3133275993509467,0.5737679172965052
ALLIANCEHEALTH DURANT,OK,Pneumonia,370.0,1.21,19.66,16.24,86,07/01/2020,06/30/2023,3.1509488874029885,1.0174781765944103,-0.5027763360179357
ALLIANCEHEALTH DURANT,OK,COPD,207.0,1.19,23.58,19.85,60,07/01/2020,06/30/2023,2.8371320594148073,2.742647090840894,1.4307185667010354
INTEGRIS BASS BAPTIST HEALTH CENTER,OK,Pneumonia,151.0,0.99,14.16,14.24,21,07/01/2020,06/30/2023,-0.3010362204670012,-1.403039432679994,-1.5739646477735965
INTEGRIS BASS BAPTIST HEALTH CENTER,OK,COPD,113.0,1.0,16.67,16.62,19,07/01/2020,06/30/2023,-0.14412780647291057,-0.2984032146293105,-0.2992505567843586
ASCENSION ST JOHN JANE PHILLIPS,OK,Pneumonia,238.0,0.97,14.59,14.97,33,07/01/2020,06/30/2023,-0.6148530484551824,-1.2137989650458134,-1.1829809139827798
GREAT PLAINS REGIONAL MEDICAL CENTER,OK,Pneumonia,92.0,0.99,14.54,14.62,13,07/01/2020,06/30/2023,-0.3010362204670012,-1.2358036705846718,-1.3704388685400213
MERCY HOSPITAL ADA,OK,Pneumonia,255.0,1.04,16.98,16.32,46,07/01/2020,06/30/2023,0.4835058495034518,-0.16197404028839013,-0.4599288035477082
MERCY HOSPITAL ADA,OK,COPD,68.0,1.07,20.33,19.02,18,07/01/2020,06/30/2023,0.9542310914857236,1.3123412308151097,0.9861754173224349
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,OK,Pneumonia,119.0,0.99,14.27,14.48,16,07/01/2020,06/30/2023,-0.3010362204670012,-1.354629080494506,-1.445422050362917
"DUNCAN REGIONAL HOSPITAL, INC",OK,Pneumonia,307.0,0.99,14.94,15.14,45,07/01/2020,06/30/2023,-0.3010362204670012,-1.059766026273806,-1.0919299074835485
"DUNCAN REGIONAL HOSPITAL, INC",OK,COPD,146.0,0.95,16.51,17.38,21,07/01/2020,06/30/2023,-0.9286698764433635,-0.3688182723536569,0.10780100168279184
SAINT FRANCIS HOSPITAL MUSKOGEE,OK,Pneumonia,410.0,1.06,18.5,17.42,80,07/01/2020,06/30/2023,0.797322677491633,0.5069690080928996,0.12922476791790652
SAINT FRANCIS HOSPITAL MUSKOGEE,OK,COPD,164.0,1.0,20.58,20.5,34,07/01/2020,06/30/2023,-0.14412780647291057,1.4223647585094008,1.7788547680216247
ST MARY'S REGIONAL MEDICAL CENTER,OK,Pneumonia,255.0,1.0,16.19,16.25,41,07/01/2020,06/30/2023,-0.14412780647291057,-0.5096483878023497,-0.49742039445915653
"INTEGRIS BAPTIST MEDICAL CENTER, INC",OK,Pneumonia,716.0,0.92,14.72,15.96,100,07/01/2020,06/30/2023,-1.3993951184256337,-1.1565867306447817,-0.652742699663727
"INTEGRIS BAPTIST MEDICAL CENTER, INC",OK,COPD,255.0,0.99,18.71,18.93,47,07/01/2020,06/30/2023,-0.3010362204670012,0.5993887713561045,0.9379719432934301
MCALESTER REGIONAL HEALTH CENTER,OK,Pneumonia,168.0,0.97,14.27,14.7,22,07/01/2020,06/30/2023,-0.6148530484551824,-1.354629080494506,-1.3275913360697948
MCALESTER REGIONAL HEALTH CENTER,OK,COPD,80.0,1.08,17.62,16.25,19,07/01/2020,06/30/2023,1.1111395054798143,0.11968619060899535,-0.49742039445915653
SSM HEALTH ST ANTHONY HOSPITAL - OKLAHOMA CITY,OK,Pneumonia,463.0,0.99,16.51,16.62,76,07/01/2020,06/30/2023,-0.3010362204670012,-0.3688182723536569,-0.2992505567843586
SSM HEALTH ST ANTHONY HOSPITAL - OKLAHOMA CITY,OK,COPD,114.0,0.97,16.78,17.38,17,07/01/2020,06/30/2023,-0.6148530484551824,-0.2499928624438227,0.10780100168279184
HILLCREST HOSPITAL CLAREMORE,OK,Pneumonia,118.0,0.96,13.89,14.4,14,07/01/2020,06/30/2023,-0.7717614624492729,-1.5218648425898282,-1.4882695828331436
"MERCY HOSPITAL ARDMORE, INC",OK,Pneumonia,405.0,0.98,17.55,17.83,70,07/01/2020,06/30/2023,-0.45794463446109174,0.08887960285459372,0.3488183718278154
"MERCY HOSPITAL ARDMORE, INC",OK,COPD,89.0,1.04,19.82,19.08,20,07/01/2020,06/30/2023,0.4835058495034518,1.0878932343187568,1.018311066675104
STILLWATER MEDICAL CENTER,OK,Pneumonia,225.0,1.04,15.74,15.14,38,07/01/2020,06/30/2023,0.4835058495034518,-0.7076907376520741,-1.0919299074835485
STILLWATER MEDICAL CENTER,OK,COPD,101.0,1.08,19.22,17.84,24,07/01/2020,06/30/2023,1.1111395054798143,0.8238367678524575,0.3541743133865945
COMANCHE COUNTY MEMORIAL HOSPITAL,OK,Pneumonia,540.0,1.09,19.03,17.4,109,07/01/2020,06/30/2023,1.268047919473905,0.7402188868047972,0.11851288480034823
COMANCHE COUNTY MEMORIAL HOSPITAL,OK,COPD,204.0,1.01,20.21,19.96,42,07/01/2020,06/30/2023,0.012780607521180043,1.2595299375218512,1.4896339238475966
OKLAHOMA STATE UNIVERSITY MEDICAL CENTER,OK,Pneumonia,89.0,1.02,15.57,15.3,15,07/01/2020,06/30/2023,0.16968902151527065,-0.782506736484192,-1.0062348425430956
OKLAHOMA STATE UNIVERSITY MEDICAL CENTER,OK,COPD,48.0,1.01,21.63,21.43,11,07/01/2020,06/30/2023,0.012780607521180043,1.8844635748254237,2.2769573329880073
NORTHEASTERN HEALTH SYSTEM,OK,Pneumonia,121.0,0.95,14.67,15.52,14,07/01/2020,06/30/2023,-0.9286698764433635,-1.1785914361836403,-0.8884041282499733
NORTHEASTERN HEALTH SYSTEM,OK,COPD,54.0,1.05,22.37,21.39,15,07/01/2020,06/30/2023,0.6404142634975425,2.2101332168005263,2.2555335667528946
"SAINT FRANCIS HOSPITAL, INC",OK,Pneumonia,932.0,1.02,17.63,17.22,166,07/01/2020,06/30/2023,0.16968902151527065,0.12408713171676611,0.022105936742338822
"SAINT FRANCIS HOSPITAL, INC",OK,COPD,384.0,1.03,21.58,20.87,85,07/01/2020,06/30/2023,0.32659743550936127,1.8624588692865653,1.9770246056964227
O U MEDICAL CENTER,OK,Pneumonia,268.0,1.0,18.34,18.39,49,07/01/2020,06/30/2023,-0.14412780647291057,0.4365539503685532,0.6487510991194019
O U MEDICAL CENTER,OK,COPD,143.0,0.98,19.3,19.79,26,07/01/2020,06/30/2023,-0.45794463446109174,0.8590442967146315,1.3985829173483644
SSM HEALTH ST ANTHONY HOSPITAL - MIDWEST,OK,Pneumonia,251.0,1.0,16.24,16.19,41,07/01/2020,06/30/2023,-0.14412780647291057,-0.4876436822634927,-0.5295560438118257
SSM HEALTH ST ANTHONY HOSPITAL - MIDWEST,OK,COPD,73.0,1.0,17.98,18.01,13,07/01/2020,06/30/2023,-0.14412780647291057,0.2781200704887743,0.4452253198858267
SOUTHWESTERN MEDICAL CENTER,OK,Pneumonia,188.0,0.95,14.5,15.23,24,07/01/2020,06/30/2023,-0.9286698764433635,-1.253407435015758,-1.0437264334545437
CHOCTAW MEMORIAL HOSPITAL,OK,Pneumonia,97.0,0.99,13.33,13.52,12,07/01/2020,06/30/2023,-0.3010362204670012,-1.7683175446250403,-1.959592440005635
INTEGRIS SOUTHWEST MEDICAL CENTER,OK,Pneumonia,366.0,0.99,15.71,15.83,57,07/01/2020,06/30/2023,-0.3010362204670012,-0.7208935609753887,-0.7223699399278455
INTEGRIS SOUTHWEST MEDICAL CENTER,OK,COPD,130.0,1.01,19.35,19.09,26,07/01/2020,06/30/2023,0.012780607521180043,0.88104900225349,1.0236670082338832
INTEGRIS GROVE HOSPITAL,OK,Pneumonia,119.0,1.03,15.27,14.86,20,07/01/2020,06/30/2023,0.32659743550936127,-0.9145349697173417,-1.2418962711293418
ASCENSION ST JOHN MEDICAL CENTER,OK,Pneumonia,459.0,0.97,15.97,16.52,71,07/01/2020,06/30/2023,-0.6148530484551824,-0.6064690921733261,-0.3528099723721424
ASCENSION ST JOHN MEDICAL CENTER,OK,COPD,181.0,1.08,22.25,20.68,45,07/01/2020,06/30/2023,1.1111395054798143,2.1573219235072663,1.875261716079634
SSM HEALTH ST ANTHONY HOSPITAL - SHAWNEE,OK,Pneumonia,184.0,1.01,15.52,15.42,29,07/01/2020,06/30/2023,0.012780607521180043,-0.8045114420230506,-0.9419635438377563
CHEROKEE NATION W W HASTINGS INDIAN HOSPITAL,OK,Pneumonia,121.0,1.01,14.34,14.2,18,07/01/2020,06/30/2023,0.012780607521180043,-1.3238224927401046,-1.5953884140087102
HILLCREST HOSPITAL SOUTH,OK,Pneumonia,323.0,0.93,14.58,15.74,42,07/01/2020,06/30/2023,-1.242486704431543,-1.2181999061535849,-0.7705734139568502
HILLCREST HOSPITAL SOUTH,OK,COPD,109.0,1.06,19.44,18.29,25,07/01/2020,06/30/2023,0.797322677491633,0.9206574722234347,0.595191683531618
INTEGRIS CANADIAN VALLEY HOSPITAL,OK,Pneumonia,226.0,1.03,14.69,14.3,35,07/01/2020,06/30/2023,0.32659743550936127,-1.1697895539680971,-1.5418289984209264
"OKLAHOMA HEART HOSPITAL, LLC",OK,Pneumonia,220.0,1.02,16.8,16.55,38,07/01/2020,06/30/2023,0.16968902151527065,-0.24119098022827962,-0.3367421476958069
"SAINT FRANCIS HOSPITAL SOUTH, LLC",OK,Pneumonia,288.0,1.0,15.53,15.46,45,07/01/2020,06/30/2023,-0.14412780647291057,-0.800110500915279,-0.9205397776026425
"SAINT FRANCIS HOSPITAL SOUTH, LLC",OK,COPD,118.0,1.04,18.31,17.61,24,07/01/2020,06/30/2023,0.4835058495034518,0.4233511270452378,0.2309876575346932
"OKLAHOMA HEART HOSPITAL SOUTH, LLC",OK,Pneumonia,107.0,0.94,17.76,18.82,15,07/01/2020,06/30/2023,-1.0855782904374542,0.18129936611779862,0.879056586146869
INTEGRIS HEALTH EDMOND HOSPITAL,OK,Pneumonia,213.0,0.95,14.24,14.97,27,07/01/2020,06/30/2023,-0.9286698764433635,-1.3678319038178208,-1.1829809139827798
"SAINT FRANCIS HOSPITAL VINITA, INC",OK,Pneumonia,141.0,1.03,14.87,14.42,23,07/01/2020,06/30/2023,0.32659743550936127,-1.0905726140282075,-1.477557699715587
INTEGRIS COMMUNITY HOSPITAL - COUNCIL CROSSING,OK,Pneumonia,44.0,1.07,15.19,14.23,11,07/01/2020,06/30/2023,0.9542310914857236,-0.9497424985795149,-1.5793205893323747
ASANTE THREE RIVERS MEDICAL CENTER,OR,Pneumonia,165.0,0.93,12.71,13.72,16,07/01/2020,06/30/2023,-1.242486704431543,-2.041175893306882,-1.8524736088300684
PROVIDENCE ST VINCENT MEDICAL CENTER,OR,Pneumonia,251.0,1.01,14.93,14.81,38,07/01/2020,06/30/2023,0.012780607521180043,-1.0641669673815775,-1.2686759789232327
PROVIDENCE ST VINCENT MEDICAL CENTER,OR,COPD,96.0,0.94,16.43,17.49,12,07/01/2020,06/30/2023,-1.0855782904374542,-0.40402580121583087,0.16671635882935293
LEGACY EMANUEL MEDICAL CENTER,OR,Pneumonia,69.0,1.01,16.75,16.64,12,07/01/2020,06/30/2023,0.012780607521180043,-0.26319568576713814,-0.2885386736668022
OHSU HOSPITAL AND CLINICS,OR,Pneumonia,107.0,1.06,17.67,16.64,23,07/01/2020,06/30/2023,0.797322677491633,0.14169089614785388,-0.2885386736668022
GOOD SAMARITAN REGIONAL MEDICAL CENTER,OR,Pneumonia,138.0,1.02,14.26,13.97,21,07/01/2020,06/30/2023,0.16968902151527065,-1.3590300216022777,-1.7185750698606106
LEGACY GOOD SAMARITAN MEDICAL CENTER,OR,Pneumonia,101.0,0.96,16.28,16.88,14,07/01/2020,06/30/2023,-0.7717614624492729,-0.4700399178324049,-0.1599960762561236
LEGACY GOOD SAMARITAN MEDICAL CENTER,OR,COPD,63.0,0.98,19.81,20.28,11,07/01/2020,06/30/2023,-0.45794463446109174,1.0834922932109845,1.6610240537285026
ASANTE ROGUE REGIONAL MEDICAL CENTER,OR,Pneumonia,239.0,0.85,13.12,15.35,21,07/01/2020,06/30/2023,-2.4977540163842678,-1.8607373078882454,-0.9794551347492045
ASANTE ROGUE REGIONAL MEDICAL CENTER,OR,COPD,60.0,1.0,20.15,20.18,12,07/01/2020,06/30/2023,-0.14412780647291057,1.2331242908752202,1.6074646381407187
MCKENZIE-WILLAMETTE MEDICAL CENTER,OR,Pneumonia,98.0,0.97,14.17,14.58,12,07/01/2020,06/30/2023,-0.6148530484551824,-1.3986384915722223,-1.3918626347751342
HILLSBORO MEDICAL CENTER,OR,Pneumonia,87.0,1.01,15.4,15.27,14,07/01/2020,06/30/2023,0.012780607521180043,-0.85732273531631,-1.022302667219431
LEGACY MOUNT HOOD MEDICAL CENTER,OR,Pneumonia,90.0,0.98,15.89,16.2,13,07/01/2020,06/30/2023,-0.45794463446109174,-0.6416766210354993,-0.5242001022530485
MERCY MEDICAL CENTER,OR,Pneumonia,207.0,0.84,13.24,15.74,16,07/01/2020,06/30/2023,-2.6546624303783584,-1.8079260145949851,-0.7705734139568502
PROVIDENCE NEWBERG MEDICAL CENTER,OR,Pneumonia,73.0,0.98,16.69,16.98,11,07/01/2020,06/30/2023,-0.45794463446109174,-0.28960133241376745,-0.10643666066833976
PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER,OR,Pneumonia,106.0,0.96,14.04,14.66,12,07/01/2020,06/30/2023,-0.7717614624492729,-1.455850725973254,-1.3490151023049075
ST CHARLES MEDICAL CENTER - BEND,OR,Pneumonia,384.0,0.95,13.96,14.76,50,07/01/2020,06/30/2023,-0.9286698764433635,-1.4910582548354265,-1.2954556867171247
ST CHARLES MEDICAL CENTER - BEND,OR,COPD,122.0,0.92,15.34,16.61,14,07/01/2020,06/30/2023,-1.3993951184256337,-0.88372838196294,-0.30460649834313774
SKY LAKES MEDICAL CENTER,OR,Pneumonia,205.0,0.89,13.59,15.32,20,07/01/2020,06/30/2023,-1.8701203604079053,-1.6538930758229777,-0.9955229594255391
SALEM HOSPITAL,OR,Pneumonia,474.0,0.99,15.79,15.98,74,07/01/2020,06/30/2023,-0.3010362204670012,-0.6856860321132163,-0.6420308165461707
SALEM HOSPITAL,OR,COPD,166.0,0.93,19.1,20.58,27,07/01/2020,06/30/2023,-1.242486704431543,0.7710254745591989,1.8217023004918502
ADVENTIST HEALTH PORTLAND,OR,Pneumonia,140.0,1.01,16.57,16.37,24,07/01/2020,06/30/2023,0.012780607521180043,-0.34241262570702763,-0.43314909575381627
PROVIDENCE PORTLAND MEDICAL CENTER,OR,Pneumonia,148.0,1.02,16.58,16.23,26,07/01/2020,06/30/2023,0.16968902151527065,-0.33801168459925685,-0.508132277576713
WILLAMETTE VALLEY MEDICAL CENTER,OR,COPD,48.0,1.08,19.03,17.57,14,07/01/2020,06/30/2023,1.1111395054798143,0.7402188868047972,0.2095638912995804
PROVIDENCE MEDFORD MEDICAL CENTER,OR,Pneumonia,150.0,1.01,14.71,14.51,23,07/01/2020,06/30/2023,0.012780607521180043,-1.1609876717525531,-1.4293542256865823
LEGACY MERIDIAN PARK MEDICAL CENTER,OR,Pneumonia,142.0,1.04,14.95,14.34,24,07/01/2020,06/30/2023,0.4835058495034518,-1.0553650851660343,-1.5204052321858137
BAY AREA HOSPITAL,OR,Pneumonia,256.0,0.87,14.6,16.79,28,07/01/2020,06/30/2023,-2.1839371883960865,-1.2093980239380417,-0.20819955028512832
BAY AREA HOSPITAL,OR,COPD,127.0,1.04,19.31,18.55,27,07/01/2020,06/30/2023,0.4835058495034518,0.8634452378224022,0.7344461640598549
SACRED HEART MEDICAL CENTER - RIVERBEND,OR,Pneumonia,357.0,0.87,13.68,15.65,40,07/01/2020,06/30/2023,-2.1839371883960865,-1.6142846058530331,-0.8187768879858549
SACRED HEART MEDICAL CENTER - RIVERBEND,OR,COPD,126.0,0.93,17.93,19.31,18,07/01/2020,06/30/2023,-1.242486704431543,0.25611536494991577,1.1414977225270053
GEISINGER-COMMUNITY MEDICAL CENTER,PA,Pneumonia,527.0,1.01,16.4,16.26,87,07/01/2020,06/30/2023,0.012780607521180043,-0.41722862453914633,-0.49206445290037737
GEISINGER-COMMUNITY MEDICAL CENTER,PA,COPD,156.0,0.92,18.11,19.71,23,07/01/2020,06/30/2023,-1.3993951184256337,0.3353323048898052,1.3557353848781388
UPMC MCKEESPORT HOSPITAL,PA,Pneumonia,70.0,0.99,17.17,17.43,11,07/01/2020,06/30/2023,-0.3010362204670012,-0.07835615924072833,0.13458070947668377
PENN STATE HEALTH HOLY SPIRIT MEDICAL CENTER,PA,Pneumonia,311.0,1.03,16.48,16.06,53,07/01/2020,06/30/2023,0.32659743550936127,-0.38202109567697234,-0.5991832840759451
PENN STATE HEALTH HOLY SPIRIT MEDICAL CENTER,PA,COPD,82.0,0.95,17.5,18.49,11,07/01/2020,06/30/2023,-0.9286698764433635,0.06687489731573518,0.7023105147071839
